# index, label, movie_id, viz, vid, _pos
37,GIRL,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -103.04017, 'y': -65.77156, 'z': 0.0}}",1904675,"array([-12.32905212,  19.54628287])"
38,GOVERNOR WALLACE,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0021715, 'position': {'x': -149.47478, 'y': -307.31537, 'z': 0.0}}",1905294,"array([-16.21818576,  20.15188147])"
39,HILARY,316,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 43.344208, 'y': -287.65857, 'z': 0.0}}",1907579,"array([-12.95211904,  18.84552173])"
40,ISABEL,316,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 90.14671, 'y': -275.94412, 'z': 0.0}}",1907575,"array([-13.1965481,  19.4860475])"
41,JENNY,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 7.5303288, 'position': {'x': 35.85774, 'y': -94.55962, 'z': 0.0}}",1904685,"array([-13.51264088,  20.2600545 ])"
42,JENNY'S DAD,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 105.43312, 'y': 58.02335, 'z': 0.0}}",1904992,"array([-13.37965774,  18.62174402])"
43,JOHN LENNON,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -277.6115, 'y': -82.20186, 'z': 0.0}}",1908203,"array([-12.92722661,  17.52818179])"
44,KATZENBACH,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -50.870262, 'y': -285.32983, 'z': 0.0}}",1905304,"array([-13.42695679,  17.56008507])"
45,LENORE,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': 141.05095, 'y': 291.9659, 'z': 0.0}}",1908453,"array([-11.67272584,  20.79409034])"
46,LITTLE BOY,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 352.09894, 'y': -32.713604, 'z': 0.0}}",1910323,"array([-14.26274171,  19.69696305])"
47,LOUISE,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0191817, 'position': {'x': 127.295, 'y': 25.88457, 'z': 0.0}}",1908844,"array([-12.56643673,  20.06452529])"
48,LT DAN,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.5212374, 'position': {'x': -6.402921, 'y': 199.49263, 'z': 0.0}}",1906528,"array([-11.63154127,  20.26151845])"
49,LYNN MARIE,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 322.02625, 'y': -66.03197, 'z': 0.0}}",1910284,"array([-14.0623984 ,  19.36572286])"
50,MALE NURSE,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -180.50827, 'y': 87.68273, 'z': 0.0}}",1907326,"array([-11.19174863,  20.65580488])"
51,MAN,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0166483, 'position': {'x': -32.548702, 'y': 302.39413, 'z': 0.0}}",1907283,"array([-11.12648598,  19.72631959])"
52,MAN #,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -319.48325, 'y': 27.719564, 'z': 0.0}}",1906309,"array([-13.15289597,  20.82015115])"
53,MAN #1,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -367.54874, 'y': 5.145093, 'z': 0.0}}",1906291,"array([-13.25346263,  21.21956529])"
54,MAN #2,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -328.56003, 'y': -33.128174, 'z': 0.0}}",1906294,"array([-13.01927154,  21.51736923])"
55,MAN #3,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -270.73724, 'y': 48.79036, 'z': 0.0}}",1906298,"array([-12.8777671 ,  21.13756122])"
56,MAN #5,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -309.86215, 'y': 88.37419, 'z': 0.0}}",1906326,"array([-12.63648451,  21.42805057])"
57,MARGO,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -74.54805, 'y': 327.04807, 'z': 0.0}}",1909336,"array([-9.96357178, 20.75785396])"
58,MASAI,316,"{'color': {'r': 115, 'g': 80, 'b': 205, 'a': 1.0}, 'size': 5.0, 'position': {'x': 214.52902, 'y': -169.26848, 'z': 0.0}}",1907864,"array([-14.33325018,  20.14775063])"
59,MEN,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -278.99677, 'y': -7.728352, 'z': 0.0}}",1906313,"array([-12.74882968,  20.77632073])"
60,MINISTER,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0, 'position': {'x': 177.739, 'y': -12.750344, 'z': 0.0}}",1910447,"array([-12.13426613,  20.60857588])"
61,MRS BLUE,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -86.54275, 'y': 65.80174, 'z': 0.0}}",1908875,"array([-12.2111604 ,  22.11591498])"
62,MRS GUMP,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0521164, 'position': {'x': 48.38249, 'y': 117.301094, 'z': 0.0}}",1904161,"array([-11.91651322,  19.1093794 ])"
63,NEWSCASTER,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.014115, 'position': {'x': 119.86982, 'y': -97.87165, 'z': 0.0}}",1909821,"array([-13.91704423,  20.30350952])"
64,NEWSMAN,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.241835, 'position': {'x': 41.21296, 'y': -173.09952, 'z': 0.0}}",1905349,"array([-14.96712511,  20.52738548])"
65,NIGHT,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -211.61127, 'y': 263.50266, 'z': 0.0}}",1906207,"array([-11.10896458,  18.81747784])"
66,NURSE,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 258.50592, 'y': 62.09534, 'z': 0.0}}",1907510,"array([-12.72252102,  22.10158514])"
67,OFFICER,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 147.21063, 'y': 69.17059, 'z': 0.0}}",1907476,"array([-11.65569093,  21.83648461])"
68,OLD SHRIMPER,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -57.22206, 'y': -46.76615, 'z': 0.0}}",1908918,"array([-11.92284396,  17.67766893])"
69,OLDER BOY,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -172.61734, 'y': -143.64328, 'z': 0.0}}",1905178,"array([-14.8490573 ,  18.98928971])"
70,OLDER BOY #1,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0930133, 'position': {'x': -47.183346, 'y': -150.95982, 'z': 0.0}}",1905084,"array([-13.97570729,  21.6526155 ])"
71,OLDER BOY #2,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -19.660614, 'y': -188.12291, 'z': 0.0}}",1905107,"array([-13.50980318,  21.67492058])"
72,PATRONS,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -179.79256, 'y': -0.5609596, 'z': 0.0}}",1908544,"array([-12.37264515,  17.44374307])"
